iter	Passed	Remaining
708	962	395
709	963	393
710	965	392
711	966	390
712	967	389
713	968	388
714	970	386
715	971	385
716	972	384
717	973	382
718	975	381
719	976	379
720	977	378
721	979	376
722	980	375
723	981	374
724	983	372
725	984	371
726	985	370
727	986	368
728	987	367
729	988	365
730	990	364
731	992	363
732	993	361
733	994	360
734	996	359
735	997	357
736	998	356
737	999	354
738	1000	353
739	1001	351
740	1002	350
741	1003	348
742	1004	347
743	1005	346
744	1007	344
745	1008	343
746	1009	341
747	1010	340
748	1011	338
749	1012	337
750	1013	336
751	1014	334
752	1015	333
753	1016	331
754	1017	330
755	1019	328
756	1020	327
757	1021	326
758	1022	324
759	1023	323
760	1025	321
761	1026	320
762	1026	318
763	1028	317
764	1028	316
765	1029	314
766	1030	313
767	1031	311
768	1033	310
769	1034	308
770	1035	307
771	1037	306
772	1038	304
773	1039	303
774	1040	301
775	1041	300
776	1042	299
777	1043	297
778	1044	296
779	1045	294
780	1046	293
781	1046	291
782	1047	290
783	1049	289
784	1050	287
785	1051	286
786	1052	284
787	1053	283
788	1054	282
789	1056	280
790	1057	279
791	1057	277
792	1059	276
793	1060	275
794	1061	273
795	1062	272
796	1063	270
797	1064	269
798	1065	268
799	1067	266
800	1068	265
801	1069	264
802	1070	262
803	1071	261
804	1072	259
805	1073	258
806	1074	256
807	1075	255
808	1076	254
809	1077	252
810	1078	251
811	1079	249
812	1080	248
813	1082	247
814	1083	245
815	1084	244
816	1085	243
817	1086	241
818	1087	240
819	1088	238
820	1089	237
821	1090	236
822	1091	234
823	1092	233
824	1094	232
825	1095	230
826	1097	229
827	1098	228
828	1099	226
829	1100	225
830	1101	223
831	1102	222
832	1103	221
833	1104	219
834	1105	218
835	1106	217
836	1107	215
837	1108	214
838	1110	213
839	1111	211
840	1112	210
841	1113	208
842	1114	207
843	1115	206
844	1116	204
845	1117	203
846	1118	201
847	1118	200
848	1120	199
849	1121	197
850	1122	196
851	1124	195
852	1125	194
853	1127	192
854	1128	191
855	1130	190
856	1132	188
857	1134	187
858	1135	186
859	1136	185
860	1137	183
861	1139	182
862	1141	181
863	1142	179
864	1144	178
865	1145	177
866	1147	175
867	1148	174
868	1149	173
869	1151	172
870	1152	170
871	1154	169
872	1156	168
873	1158	166
874	1159	165
875	1161	164
876	1162	163
877	1164	161
878	1165	160
879	1166	159
880	1168	157
881	1169	156
882	1170	155
883	1172	153
884	1173	152
885	1174	151
886	1175	149
887	1176	148
888	1177	147
889	1178	145
890	1179	144
891	1180	142
892	1182	141
893	1183	140
894	1184	138
895	1185	137
896	1186	136
897	1187	134
898	1188	133
899	1189	132
900	1191	130
901	1192	129
902	1193	128
903	1194	126
904	1195	125
905	1196	124
906	1197	122
907	1198	121
908	1199	120
909	1201	118
910	1202	117
911	1203	116
912	1204	114
913	1205	113
914	1206	112
915	1207	110
916	1208	109
917	1209	108
918	1210	106
919	1212	105
920	1213	104
921	1214	102
922	1215	101
923	1217	100
924	1218	98
925	1219	97
926	1220	96
927	1221	94
928	1222	93
929	1223	92
930	1224	90
931	1225	89
932	1226	88
933	1227	86
934	1228	85
935	1229	84
936	1231	82
937	1232	81
938	1233	80
939	1234	78
940	1235	77
941	1236	76
942	1237	74
943	1238	73
944	1239	72
945	1240	70
946	1241	69
947	1243	68
948	1244	66
949	1245	65
950	1246	64
951	1248	62
952	1249	61
953	1250	60
954	1251	58
955	1251	57
956	1252	56
957	1254	54
958	1255	53
959	1256	52
960	1257	51
961	1258	49
962	1259	48
963	1260	47
964	1261	45
965	1262	44
966	1263	43
967	1264	41
968	1266	40
969	1267	39
970	1268	37
971	1269	36
972	1270	35
973	1271	33
974	1272	32
975	1274	31
976	1275	30
977	1276	28
978	1278	27
979	1279	26
980	1280	24
981	1281	23
982	1282	22
983	1283	20
984	1284	19
985	1285	18
986	1286	16
987	1287	15
988	1288	14
989	1289	13
990	1291	11
991	1291	10
992	1292	9
993	1293	7
994	1294	6
995	1295	5
996	1296	3
997	1297	2
998	1298	1
999	1300	0
